[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[117/501] 1초 17/100 pos:6.443999999999993m, v:6.599999999999985m/s, Ek:21.779999999999905, p:6.599999999999985N
[118/501] 1초 18/100 pos:6.507999999999993m, v:6.399999999999985m/s, Ek:20.479999999999905, p:6.399999999999985N
[119/501] 1초 19/100 pos:6.569999999999993m, v:6.199999999999985m/s, Ek:19.219999999999906, p:6.199999999999985N
[120/501] 1초 20/100 pos:6.629999999999993m, v:5.999999999999985m/s, Ek:17.99999999999991, p:5.999999999999985N
[121/501] 1초 21/100 pos:6.687999999999993m, v:5.799999999999985m/s, Ek:16.81999999999991, p:5.799999999999985N
[122/501] 1초 22/100 pos:6.743999999999993m, v:5.5999999999999845m/s, Ek:15.679999999999913, p:5.5999999999999845N
[123/501] 1초 23/100 pos:6.797999999999993m, v:5.399999999999984m/s, Ek:14.579999999999915, p:5.399999999999984N
[124/501] 1초 24/100 pos:6.8499999999999925m, v:5.199999999999984m/s, Ek:13.519999999999918, p:5.199999999999984N
[125/501] 1초 25/100 pos:6.899999999999992m, v:4.999999999999984m/s, Ek:12.49999999999992, p:4.999999999999984N
[126/501] 1초 26/100 pos:6.947999999999992m, v:4.799999999999984m/s, Ek:11.519999999999923, p:4.799999999999984N
[127/501] 1초 27/100 pos:6.993999999999993m, v:4.599999999999984m/s, Ek:10.579999999999925, p:4.599999999999984N
[128/501] 1초 28/100 pos:7.037999999999992m, v:4.3999999999999835m/s, Ek:9.679999999999927, p:4.3999999999999835N
[129/501] 1초 29/100 pos:7.079999999999992m, v:4.199999999999983m/s, Ek:8.81999999999993, p:4.199999999999983N
[130/501] 1초 30/100 pos:7.119999999999992m, v:3.999999999999983m/s, Ek:7.9999999999999325, p:3.999999999999983N
[131/501] 1초 31/100 pos:7.157999999999992m, v:3.799999999999983m/s, Ek:7.219999999999935, p:3.799999999999983N
[132/501] 1초 32/100 pos:7.193999999999992m, v:3.5999999999999828m/s, Ek:6.479999999999938, p:3.5999999999999828N
[133/501] 1초 33/100 pos:7.227999999999992m, v:3.3999999999999826m/s, Ek:5.779999999999941, p:3.3999999999999826N
[134/501] 1초 34/100 pos:7.259999999999992m, v:3.1999999999999824m/s, Ek:5.119999999999944, p:3.1999999999999824N
[135/501] 1초 35/100 pos:7.289999999999992m, v:2.9999999999999822m/s, Ek:4.499999999999947, p:2.9999999999999822N
[136/501] 1초 36/100 pos:7.317999999999992m, v:2.799999999999982m/s, Ek:3.9199999999999497, p:2.799999999999982N
[137/501] 1초 37/100 pos:7.343999999999991m, v:2.599999999999982m/s, Ek:3.379999999999953, p:2.599999999999982N
[138/501] 1초 38/100 pos:7.3679999999999914m, v:2.3999999999999817m/s, Ek:2.879999999999956, p:2.3999999999999817N
[139/501] 1초 39/100 pos:7.389999999999992m, v:2.1999999999999815m/s, Ek:2.4199999999999595, p:2.1999999999999815N
[140/501] 1초 40/100 pos:7.409999999999991m, v:1.9999999999999816m/s, Ek:1.9999999999999631, p:1.9999999999999816N
[141/501] 1초 41/100 pos:7.427999999999991m, v:1.7999999999999816m/s, Ek:1.6199999999999668, p:1.7999999999999816N
[142/501] 1초 42/100 pos:7.443999999999991m, v:1.5999999999999817m/s, Ek:1.2799999999999707, p:1.5999999999999817N
[143/501] 1초 43/100 pos:7.457999999999991m, v:1.3999999999999817m/s, Ek:0.9799999999999743, p:1.3999999999999817N
[144/501] 1초 44/100 pos:7.469999999999991m, v:1.1999999999999817m/s, Ek:0.7199999999999781, p:1.1999999999999817N
[145/501] 1초 45/100 pos:7.479999999999991m, v:0.9999999999999818m/s, Ek:0.4999999999999818, p:0.9999999999999818N
[146/501] 1초 46/100 pos:7.487999999999991m, v:0.7999999999999818m/s, Ek:0.31999999999998546, p:0.7999999999999818N
[147/501] 1초 47/100 pos:7.493999999999991m, v:0.5999999999999819m/s, Ek:0.17999999999998914, p:0.5999999999999819N
[148/501] 1초 48/100 pos:7.4979999999999905m, v:0.39999999999998187m/s, Ek:0.07999999999999274, p:0.39999999999998187N
[149/501] 1초 49/100 pos:7.49999999999999m, v:0.19999999999998186m/s, Ek:0.01999999999999637, p:0.19999999999998186N
[150/501] 1초 50/100 pos:7.49999999999999m, v:-1.815214645262131e-14m/s, Ek:1.647502104187062e-28, p:-1.815214645262131e-14N
[151/501] 1초 51/100 pos:7.4979999999999905m, v:-0.20000000000001816m/s, Ek:0.020000000000003633, p:-0.20000000000001816N
[152/501] 1초 52/100 pos:7.49399999999999m, v:-0.4000000000000182m/s, Ek:0.08000000000000727, p:-0.4000000000000182N
[153/501] 1초 53/100 pos:7.48799999999999m, v:-0.6000000000000182m/s, Ek:0.1800000000000109, p:-0.6000000000000182N
[154/501] 1초 54/100 pos:7.47999999999999m, v:-0.8000000000000183m/s, Ek:0.3200000000000146, p:-0.8000000000000183N
[155/501] 1초 55/100 pos:7.46999999999999m, v:-1.0000000000000182m/s, Ek:0.5000000000000182, p:-1.0000000000000182N
[156/501] 1초 56/100 pos:7.4579999999999895m, v:-1.2000000000000182m/s, Ek:0.7200000000000218, p:-1.2000000000000182N
[157/501] 1초 57/100 pos:7.443999999999989m, v:-1.4000000000000181m/s, Ek:0.9800000000000254, p:-1.4000000000000181N
[158/501] 1초 58/100 pos:7.427999999999989m, v:-1.600000000000018m/s, Ek:1.280000000000029, p:-1.600000000000018N
[159/501] 1초 59/100 pos:7.4099999999999895m, v:-1.800000000000018m/s, Ek:1.6200000000000325, p:-1.800000000000018N
[160/501] 1초 60/100 pos:7.389999999999989m, v:-2.000000000000018m/s, Ek:2.0000000000000364, p:-2.000000000000018N
